name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Lithium Battery Packaging,Number of Lithium Ion Cells, ,Peso del envío,Pilas:,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Huawei MateBook D 15"" - AMD Ryzen, Windows 10-8+256 GB,15.6 Pulgadas, Color Plateado (Mystic Silver)
                    
                

                
                    
                    
                
            ","$14,999.00",,145 calificaciones,Huawei,4.7 de 5 estrellas,Huawei,Matebook D 15,Gris,17 millimeters,35.8 centimeter,15,1920 x 1080,AMD,Ryzen 5 3500U,2.2 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,256,Flash Memory Solid State,PCIE x 2,AMD Radeon RX Vega 8,Integrated,DDR4 SDRAM,8,Integrado,Bluetooth,2,1,None,Windows 10 Home,42 watt_hours,Baterías dentro del paquete del equipo,2, ,2.3 Kg,"1 Litio Ion necesaria(s), incluida(s)",6901443370764,20 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude 3540 15.6 Notebook – Intel Core I3 I3-4010u 1.70 GHz (renovado)
                    
                

                
                    
                    
                
            ",,,,Amazon Renewed,,Dell,Latitude,,9.1 centimeter,32.8 centimeter,15.6 inches,,Intel,,,4 MB,,DDR3 SDRAM,,500 GB,,Serial ATA,Intel HD Graphics,Integrated,,,,"802.11b/g, 802.11bgn, 802.11b",,,,Windows 7 Professional,,,, ,3.4 Kg,,,27 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop ZenBook 15.6"", GeForce GTX 1650, Core i7 10a Gen, 16GB RAM, 1TB SSD, Dual Screen, Royal Blue, UX534FTC-A8068T
                    
                

                
                    
                    
                
            ","$34,999.00",,,Asus,,Asus,UX534FTC-A8068T,,,,15.6 inches,,Intel,Core i7-10510U,4.9 GHz,16 GB,DDR5 RAM,,16 GB,,Memoria flash de estado sólido,,,NVIDIA GeForce GTX 1650 MAX Q,DDR5 SDRAM,16 GB,PCI-E,,1,2,Ninguno,Windows 10,,Baterías dentro del paquete del equipo,1, ,3 Kg,"1 Litio Ion necesaria(s), incluida(s)",,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        HP Laptop 240 G/7 Intel Core i5 8GB Ram 1.6 GHz 1 TB Disco Duro Windows 10
                    
                

                
                    
                    
                
            ","$13,999.00",,,HP,,HP,,,,,,,Intel,Core i5 Family,1.60 GHz,8 GB,,DDR SDRAM,,1 TB,,Serial ATA,,,,,,,,,,Windows X,,,, ,2.2 Kg,,,17 de abril de 2020
"
                
                    
                    
                

                
                    
                    
                        Dell 2019 Inspiron 15 6"" HD Touchscreen Flagship Premium Laptop Computer, 8th Gen Intel Core i3-8145U Up to 3.1GHz, 8GB DDR4 RAM, 128GB SSD, HDMI, USB 3.0, Bluetooth, WiFi, Windows 10 Home
                    
                

                
                    
                    
                
            ","$11,039.00",,41 calificaciones,Dell,4.1 de 5 estrellas,Dell,Dell Inspiron,,7.6 centimeter,49.3 centimeter,15.6 inches,1920x1080,Intel,Core i3 Family,2.1 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,128 GB,,Solid State,AMD Radeon R7,integrated,DDR4 SDRAM,8 GB,Integrado,802.11bgn,1,,No Optical Drive,Windows 10,40 watt_hours,Baterías integradas en el equipo,3, ,2.6 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",I3583-3756BLK-PUS,14 de julio de 2019
"
                
                    
                    
                

                
                    
                    
                        Hyundai HN4C401EB TABLET_COMPUTER, Wi-Fi, 14.1"", AMD Athlon_Dual_Core 1.10GHz, 4GB, DDR3, 500GB, DOS
                    
                

                
                    
                    
                
            ","$6,598.80",,4 calificaciones,Hyundai,2.9 de 5 estrellas,Hyundai,Hyundai Technology,Plateado,20 millimeters,35.2 centimeter,14.1 inches,,Intel,Intel Celeron,2.4 GHz,4 GB,DDR3,DDR3 SDRAM,4 GB,32 GB,,,,,,,,802.11g,1,2,None,Windows 10 Home,18.5 watt_hours,Baterías integradas en el equipo,2, ,2 Kg,"100 Litio Ion necesaria(s), incluida(s)",332050,5 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop Gamer TUF 15.6"",GeForce RTX 2060, Ryzen 5, 16GB RAM, 1TB HDD + 256GB SSD, FX505DV-AL111T
                    
                

                
                    
                    
                
            ","$28,499.00",,1 calificación,Asus,5.0 de 5 estrellas,Asus,FX505DV-AL111T,,30.3 centimeter,9.4 centimeter,15.6 inches,,AMD,Ryzen 5 3500U,3.5 GHz,16 GB,DDR4,DDR4 SDRAM,32 GB,1 TB,Unidad híbrida,Serial ATA,,Integrada,DDR4 SDRAM,16 GB,Integrado,,1,2,CD-ROM,Windows 10,10000 kilowatt_hours,Baterías integradas en el equipo,1, ,3.7 Kg,"1 Litio Ion necesaria(s), incluida(s)",FX505DV-AL111T,5 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        HP Laptop, Pantalla de 15"" HD, Procesador A9, 4GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Pale Gold (15-db0004la)
                    
                

                
                    
                    
                
            ",,,32 calificaciones,HP,3.7 de 5 estrellas,HP,15-db0004la,"Oro, Gris",23 millimeters,24.4 centimeter,15.6 inches,1366 x 768 Pixeles,AMD,None,3.7 GHz,4 GB,SO-DIMM,,4 GB,1000 GB,,,,No disponible,,,,802.11bgn,1,2,No,Windows 10,41 watt_hours,Baterías integradas en el equipo,3, ,2.5 Kg,"1 Lithium ion necesaria(s), incluida(s)",15-db0004la,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop, 15.6"", Pentium Gold 8GB RAM, 1TB HDD + 128GB SSD, Plata, X509FA-BR694T
                    
                

                
                    
                    
                
            ","$10,499.00"," $10,999.00",,Asus,,Asus,X509FA-BR694T,,29 centimeter,6.5 centimeter,15.6 inches,,Intel,Pentium Gold G5400,2.3 GHz,1 TB,DRAM,DDR4 SDRAM,12 GB,1 TB,Unidad híbrida,PCIE x 2,,Integrada,DDR SDRAM,,Integrado,,2,,BD-R,Windows 10,1 kilowatt_hours,Baterías integradas en el equipo,1, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",VSNB0MZ1-BU1140,7 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        Hyundai Onnyx II Negro Portátil 35.8 cm (14.1"") 1920 x 1080 Pixeles 1.10 GHz Intel® Pentium® N4200 - Ordenador portátil (Intel® Pentium®, 1.10 GHz, 35.8 cm (14.1""), 1920 x 1080 Pixeles, 4 GB, 500 GB)
                    
                

                
                    
                    
                
            ","$5,899.00"," $8,599.00",4 calificaciones,Hyundai,2.0 de 5 estrellas,Hyundai,Onnyx II,Negro,,,14.1 inches,1920 x 1080 Pixeles,Intel,Celeron N3450,1.1 GHz,4 GB,,DDR3 SDRAM,8 GB,500 GB,,Solid State,,No disponible,,,,"802.11a, 802.11b, 802.11g",,,No,Windows 10 Home,,,, ,2 Kg,,HN4P402SC,8 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 14"" Core i3 10a Gen, 4GB RAM + 4GB DDIM, 512GB SSD + 32GB Optane, Azul, X412FA-BV786T
                    
                

                
                    
                    
                
            ","$12,499.00"," $13,999.00",,Asus,,Asus,X412FA-BV786T,,,,14 inches,,Intel,Core i3-10110U,4.1 GHz,8 GB,DDR4,,12 GB,,Memoria flash de estado sólido,,,Integrada,DDR DRAM,,Integrado,,1,2,Ninguno,Windows 10,1 kilowatt_hours,Baterías dentro del paquete del equipo,1, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",,31 de marzo de 2020
