"","url","title","details","edition","color","seller","price","rating","shipping","reviews","questions","so","ram","weight","dim","battery","model","resolution","interface","form","colort","box"
"https://www.amazon.com.mx/Smartphone-Huawei-P30-Lite-Desbloqueado/dp/B07Q2WYT47/ref=sr_1_1?keywords=celulares&qid=1589084897&sr=8-1","https://www.amazon.com.mx/Smartphone-Huawei-P30-Lite-Desbloqueado/dp/B07Q2WYT47/ref=sr_1_1?keywords=celulares&qid=1589084897&sr=8-1","
                
                    
                    
                

                
                    
                    
                        Huawei P30 Lite Smartphone, 128 GB, Desbloqueado, 6.15 pulgadas, Color Azul Orquidea
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Tamaño de la pantalla: 6.15 pulgadas
							
						
					
						 
							MicroSD expandible a 256 GB
							
						
					
						 
							Parlantes stereo
							
						
					
						 
							Tipo de batería: Batería de polímero de litio
							
						
					
						 
							Sistema operativo: EMUI 9.0 (Basado en Android 9)
							
						
					
				","
    
        International Version
    
","
    
        Azul Orquidea
    
","Huawei","
        $5,399.00
    ","4.7 de 5","Envío GRATIS.","2,100 calificaciones","
        524 preguntas respondidas
      ","Android 9.0","4 GB","159 g","6.6 x 4.2 x 1.5 cm","1 Polímero de litio necesaria(s), incluida(s)","6901443293087","-1","Touch Screen","Smartphone","Azul Orquidea","Smartphone,cargador,manual"
"https://www.amazon.com.mx/Moto-E6-Plus-extra%C3%ADble-desbloqueado/dp/B07YZS1PBD/ref=sr_1_2?keywords=celulares&qid=1589084897&sr=8-2","https://www.amazon.com.mx/Moto-E6-Plus-extra%C3%ADble-desbloqueado/dp/B07YZS1PBD/ref=sr_1_2?keywords=celulares&qid=1589084897&sr=8-2","
                
                    
                    
                

                
                    
                    
                        Motorola Moto E6 Plus (64 GB, 4 GB) 6.1 pulgadas, batería extraíble de 3000 mAh, radio FM, EE. UU. + Global 4G LTE Dual SIM GSM desbloqueado de fábrica XT2025-1 - Modelo internacional, 64 GB, Graphite
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Modelo internacional. Compatible con la mayoría de operadores GSM como T-Mobile, AT&T, MetroPCS, etc. No funcionará con operadores CDMA, como Verizon, Sprint, Boost.
							
						
					
						 
							Pantalla de visión máxima de 6.1 pulgadas, 720 x 1560 píxeles, relación 19.5:9, Mediatek MT6762 Helio P22 (12 nm), procesador Octa-core, radio FM, punto de acceso.
							
						
					
						 
							64 GB ROM, 4 GB RAM, microSD, hasta 512 GB (utiliza ranura SIM compartida), Dual SIM (Nano-SIM, doble stand-by), lector de huellas dactilares.
							
						
					
						 
							Cámara trasera doble de 13 MP + 2 MP, cámara frontal de 8 MP, batería extraíble de 3000 mAh, Android 9.0 (Pie).
							
						
					
						 
							2G - GSM 850/900/1800/1900 MHz, 3G - WCDMA 850/900/1700/1900/2100 MHz, 4G - LTE B1 (2100), B2 (1900), B3 (1800), B4 (1700/2100), B5 (850), B7 (2600), B8 (900), B28 (700 APT).
							
						
					
				",NA,"Grafito","Motorola","
        $4,230.00
    ","4.1 de 5","Envío GRATIS.","53 calificaciones","
        35 preguntas respondidas
      ","-1","-1","-1","-1","Litio Ion","XT2025-1","6.1 inches","-1","-1","-1","-1"
"https://www.amazon.com.mx/Xiaomi-Redmi-Note-64gb-Dream/dp/B07Y9XWK4M/ref=sr_1_3?keywords=celulares&qid=1589084897&sr=8-3","https://www.amazon.com.mx/Xiaomi-Redmi-Note-64gb-Dream/dp/B07Y9XWK4M/ref=sr_1_3?keywords=celulares&qid=1589084897&sr=8-3","
                
                    
                    
                

                
                    
                    
                        Xiaomi Redmi Note 8 (4gb 64gb) 6.3"" Neptune Blue
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Pantalla: Grande 6,3 pulgadas, 1080 x 2340 píxeles
							
						
					
						 
							Chipset: Qualcomm SDM665 Snapdragon 665, hasta 2.0Ghz
							
						
					
						 
							Sistema: Android 9.0 (Pie) Con MIUI 10
							
						
					
						 
							Cámara: 13MP cámara selfie, 48MP 8MP 2MP 2MP cámaras quad traseras
							
						
					
						 
							Batería: batería de gran capacidad 4000mAh, viene con cargador rápido de 18W
							
						
					
				",NA,NA,"Xiaomi","
        $4,199.00
    ","4.5 de 5","Envío GRATIS.","7,668 calificaciones","
        438 preguntas respondidas
      ","Android","-1","191 g","15.8 x 7.5 x 0.8 cm","1 Polímero de litio necesaria(s), incluida(s)","M1908C3JGB-64","1080 x 2340","Microphone","-1","Azul","-1"
"https://www.amazon.com.mx/Xiaomi-Redmi-visualizaci%C3%B3n-Snapdragon-Desbloqueado/dp/B07YTK6WY1/ref=sr_1_4?keywords=celulares&qid=1589084897&sr=8-4","https://www.amazon.com.mx/Xiaomi-Redmi-visualizaci%C3%B3n-Snapdragon-Desbloqueado/dp/B07YTK6WY1/ref=sr_1_4?keywords=celulares&qid=1589084897&sr=8-4","
                
                    
                    
                

                
                    
                    
                        Xiaomi Redmi 8A (32GB, 2GB RAM) 6.22"" visualización HD, Snapdragon 439, Dual SIM gsm Desbloqueado – US & Global 4G LTE versión Internacional (Ocean Blue)
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							visualización: pantalla táctil capacitiva IPS LCD de 6,22 pulgadas con Corning Gorilla Glass 5 - Resolución: 720 x 1520 píxeles
							
						
					
						 
							Memoria: 32 GB de RAM de 2 GB - microSD, hasta 512 GB (ranura dedicada)
							
						
					
						 
							Cámara principal: 12 MP, f/1.8, 1/2.55"", 1,4 µm, PDAF de doble píxel con flash LED, HDR - Cámara selfie: 8 MP, f/2.0, 1.12 µm con HDR
							
						
					
						 
							Sistema operativo: Android 9.0 (Pie); MIUI 9 - Chipset: Qualcomm Snapdragon 439 - CPU: Octa-core Cortex A53 - GPU: Adreno 505
							
						
					
						 
							WLAN: Wi-Fi 802.11 b/g/n, Wi-Fi Direct, punto de acceso - Bluetooth: 4.2, A2DP, LE - GPS: Sí, con A-GPS, GLONASS, GALILEO, BDS
							
						
					
				",NA,NA,"Xiaomi","
        $2,989.00
    ","4.4 de 5","Envío GRATIS.","635 calificaciones","
        77 preguntas respondidas
      ","-1","-1","-1","-1","Litio Ion","EAN 6941059630623","6.2 inches","Touch Screen","-1","-1","-1"
"https://www.amazon.com.mx/Huawei-FullView-Smartphone-Unlocked-Internacional/dp/B07F2RX25J/ref=sr_1_5?keywords=celulares&qid=1589084897&sr=8-5","https://www.amazon.com.mx/Huawei-FullView-Smartphone-Unlocked-Internacional/dp/B07F2RX25J/ref=sr_1_5?keywords=celulares&qid=1589084897&sr=8-5","
                
                    
                    
                

                
                    
                    
                        HUAWEI Y5 2018 Smartphone 4.5"" HD, 16GB, 3020mAh Battery, Desbloqueado, Latam Version - Negro
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Pantalla FullView de 5.45""
							
						
					
						 
							3, 020 mAh GRAN BATERÍA
							
						
					
						 
							1 GB RAM + 16 GB ROM, memoria ampliable con tarjeta microSD de datos de hasta 256 GB
							
						
					
						 
							Desbloqueo facial
							
						
					
				",NA,"
    
        Negro
    
","Huawei","
        $1,849.00
    ","4 de 5","Envío GRATIS.","120 calificaciones","
        42 preguntas respondidas
      ","-1","-1","141 g","14.7 x 7.1 x 0.8 cm","1 Polímero de litio necesaria(s), incluida(s)","Y5","-1","Touch Screen","touchscreen","Negro","Smartphone,cargador,manual"
"https://www.amazon.com.mx/Xiaomi-Redmi-Note-Negro-meteoro/dp/B07Y9ZHLXW/ref=sr_1_6?keywords=celulares&qid=1589084897&sr=8-6","https://www.amazon.com.mx/Xiaomi-Redmi-Note-Negro-meteoro/dp/B07Y9ZHLXW/ref=sr_1_6?keywords=celulares&qid=1589084897&sr=8-6","
                
                    
                    
                

                
                    
                    
                        Xiaomi Redmi Note 8 (4gb 64gb) 6.3"" Negro meteoro
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Pantalla: Grande 6,3 pulgadas, 1080 x 2340 píxeles
							
						
					
						 
							Chipset: Qualcomm SDM665 Snapdragon 665, hasta 2.0Ghz
							
						
					
						 
							Sistema: Android 9.0 (Pie) Con MIUI 10
							
						
					
						 
							Cámara: 13MP cámara selfie, 48MP 8MP 2MP 2MP cámaras quad traseras
							
						
					
						 
							Batería: batería de gran capacidad 4000mAh, viene con cargador rápido de 18W
							
						
					
				",NA,NA,"Xiaomi","
        $4,097.00
    ","4.5 de 5","Envío GRATIS.","6,789 calificaciones","
        348 preguntas respondidas
      ","-1","-1","-1","-1","Polímero de litio","M1908C3JGN-64","6.3 inches","Microphone","-1","-1","-1"
"https://www.amazon.com.mx/Samsung-Galaxy-desbloqueado-Prisma-Crush/dp/B082YG1L4B/ref=sr_1_7?keywords=celulares&qid=1589084897&sr=8-7","https://www.amazon.com.mx/Samsung-Galaxy-desbloqueado-Prisma-Crush/dp/B082YG1L4B/ref=sr_1_7?keywords=celulares&qid=1589084897&sr=8-7","
                
                    
                    
                

                
                    
                    
                        Samsung Galaxy A51 GSM desbloqueado, Prisma Crush Negro, 128 GB
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Pantalla: 164.0 mm (6.5""), Pantalla Infinity-O, Super AMOLED, Resolución: 1080 x 2400 (FHD+), profundidad de color: 16M.
							
						
					
						 
							RAM: 4 GB, ROM: 128 GB, MicroSD (hasta 512 GB), Octa-Core, 2.3 GHz, 1.7 GHz, Exynos 9611, 4000 mAh batería, escáner de huellas dactilares en pantalla
							
						
					
						 
							Cámara trasera cuádruple: 48 MP + 12 MP + 5 MP + 5 MP, zoom de la cámara trasera: Zoom digital de hasta 8x, cámara frontal: 32 MP.
							
						
					
						 
							2G: GSM850, GSM900, DCS1800, PCS1900, 3G: UMTSB1(2100), B2(1900), B4(AWS), B5(850), B8(900), 4G: FDD LTEB1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B13(700), B17(700), B20(800), B26(850), B28(700), B66(AWS-3), 4G: TDD LTEB38(2600), B40(2300), B41(2500)
							
						
					
						 
							Modelo internacional. Compatible con la mayoría de operadores GSM como T-Mobile, AT&T, MetroPCS, etc. No funcionará con operadores CDMA, como Verizon, Sprint, Boost.
							
						
					
				",NA,"Negro","Samsung","
        $7,163.99
    ","4 de 5","Envío GRATIS.","170 calificaciones","
        78 preguntas respondidas
      ","-1","-1","-1","-1","Litio Ion","3112-SAMSUNG-3445","6.5 inches","Touch Screen","Smartphone","-1","-1"
"https://www.amazon.com.mx/Samsung-pantalla-pulgadas-Infinity-V-trasera/dp/B07XQJ33PL/ref=sr_1_8?keywords=celulares&qid=1589084897&sr=8-8","https://www.amazon.com.mx/Samsung-pantalla-pulgadas-Infinity-V-trasera/dp/B07XQJ33PL/ref=sr_1_8?keywords=celulares&qid=1589084897&sr=8-8","
                
                    
                    
                

                
                    
                    
                        Samsung Galaxy A10S A107M 32GB Unlocked GSM DUOS Phone w/ Dual 13MP & 2MP Camera (International Variant/US Compatible LTE) â€“ Black
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Compatible con la mayoría de operadores GSM como T-Mobile, AT&T, MetroPCS, etc. Modelo internacional de teléfono. No funcionará con operadores CDMA, como Verizon, Sprint, Boost.
							
						
					
						 
							Pantalla táctil capacitiva IPS LCD de 6.2 pulgadas, 16 millones de colores, procesador Mediatek MT6762 Helio P22 (12 nm), Octa-core
							
						
					
						 
							Dual SIM, desbloqueado, Android 9.0 (Pie), Samsung One UI; 32 GB de almacenamiento ampliable con tarjeta SD de hasta 512 GB + 2 GB de RAM
							
						
					
						 
							Cámara trasera dual de 13 MP + 2 MP (F1.8), cámara frontal de 8 MP (F2.0), no tiene NFC
							
						
					
						 
							Bandas 2G: GSM 850/900/1800/1900, bandas 3G: HSDPA 850 / 900 / 1900 / 2100, bandas 4G: Banda LTE B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B28(700).
							
						
					
				",NA,NA,"Samsung","
        $3,399.00
    ","4.4 de 5",NA,"295 calificaciones","
        66 preguntas respondidas
      ","-1","-1","240 g","-1","1 Polímero de litio necesaria(s), incluida(s)","A107M","-1","Touch Screen","-1","-1","-1"
"https://www.amazon.com.mx/SAMSUNG-4203040-NEGRO-Galaxy-Triple-Desbloqueado/dp/B07ZDJCL76/ref=sr_1_9?keywords=celulares&qid=1589084897&sr=8-9","https://www.amazon.com.mx/SAMSUNG-4203040-NEGRO-Galaxy-Triple-Desbloqueado/dp/B07ZDJCL76/ref=sr_1_9?keywords=celulares&qid=1589084897&sr=8-9","
                
                    
                    
                

                
                    
                    
                        SAMSUNG 4203040-NEGRO Galaxy A20s, 32GB, Dual Sim, 3 GB RAM, Triple Cámara 13 MP, Desbloqueado
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Modelo internacional. Compatible con la mayoría de operadores GSM. No funcionará con operadores CDMA, como Verizon, Sprint, Boost
							
						
					
						 
							RAM 3 GB, ROM 32 GB de memoria interna. Micro SD (hasta 512 GB), Android 9.0 (Pie), Qualcomm SDM450 Snapdragon 450 (14 nm), Octa-core 1.8 GHz Cortex-A53, Adreno 506
							
						
					
						 
							Cámara trasera principal: 13.0 MP + 8.0 MP + 5.0 MP , F1.8 , F2.2 , F2.2. Cámara frontal: 8.0 MP, F2.0, batería Li-Po no extraíble de 4000 mAh.
							
						
					
						 
							3G HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100, 4G LTE banda 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)
							
						
					
				",NA,"
    
        Negro
    
","Samsung","
        $4,169.00
    ","4.2 de 5","Envío GRATIS.","240 calificaciones","
        21 preguntas respondidas
      ","-1","-1","-1","-1","Litio Ion","4203040-NEGRO","6.5 inches","Touch Screen","Smartphone","-1","-1"
"https://www.amazon.com.mx/pantalla-pulgadas-c%C3%A1maras-bater%C3%ADa-desbloqueado/dp/B07WG44JH6/ref=sr_1_10?keywords=celulares&qid=1589084897&sr=8-10","https://www.amazon.com.mx/pantalla-pulgadas-c%C3%A1maras-bater%C3%ADa-desbloqueado/dp/B07WG44JH6/ref=sr_1_10?keywords=celulares&qid=1589084897&sr=8-10","
                
                    
                    
                

                
                    
                    
                        Huawei Y9 Prime 2019 (128 GB, 4 GB RAM) pantalla de 6.59 pulgadas, 3 cámaras AI, batería de 4000 mAh, Dual SIM GSM desbloqueado de fábrica - STK-LX3, US & Global 4G LTE modelo internacional, 128 GB, Azul
                    
                

                
                    
                    
                
            ","
    






    
		
			
                                
							Visualización: LTPS IPS LCD 6.59 pulgadas 1080 x 2340 píxeles.
							
						
					
						 
							Android 9.0 (Pie); EMUI 9.
							
						
					
						 
							Hisilicon Kirin 710F (12 nm) Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53) Mali-G51 MP4.
							
						
					
						 
							microSD, hasta 1 TB 128 GB, 4 GB RAM.
							
						
					
						 
							No apto para operadores CDMA como Verizon, Sprint, Virgin Mobile, Boost Mobile, US Cellular, Straight Talk ni cualquier otro operador CDMA.
							
						
					
				",NA,NA,"Huawei",NA,"4.5 de 5",NA,"264 calificaciones","
        55 preguntas respondidas
      ","Android 9.0","4 GB","431 g","-1","1 Polímero de litio (Tipo de pila necesaria)","STK-LX3","1080 x 2340","-1","-1","Sapphire Blue","-1"
